Closing Date,iShares MSCI EAFE ETF (NYSE Arca:EFA),SPDR Gold Trust (NYSE Arca:GLD),iShares Core S&P 500 ETF (NYSE Arca:IVV),iShares U.S. Real Estate ETF (NYSE Arca:IYR),VanEck Oil Services ETF (NYSE Arca:OIH),iShares Silver Trust (NYSE Arca:SLV),SPDR S&P 500 ETF Trust (NYSE Arca:SPY),Vanguard FTSE Developed Markets ETF (NYSE Arca:VEA),Vanguard Real Estate ETF (NYSE Arca:VNQ),Energy Select Sector SPDR Fund (NYSE Arca:XLE)
2022-06-01,65.46382904052734,172.22999572753906,399.96380615234375,93.17782592773438,292.2512512207031,20.1299991607666,398.2504577636719,42.44962692260742,91.21463775634766,82.76885986328125
2022-06-02,66.82470703125,174.35000610351562,407.4963684082031,94.52438354492188,289.341552734375,20.59000015258789,405.83453369140625,43.343788146972656,92.46797943115234,82.50732421875
2022-06-03,65.87020111083984,172.5800018310547,400.8094177246094,93.26316833496094,295.6199035644531,20.229999542236328,399.17413330078125,42.675514221191406,91.23320007324219,83.60008239746094
2022-06-06,66.13481903076172,171.82000732421875,402.01458740234375,92.94074249267578,296.7037353515625,20.3700008392334,400.3895263671875,42.835533142089844,90.94539642333984,83.50668334960938
2022-06-07,66.33328247070312,172.94000244140625,405.746826171875,94.18299865722656,305.21807861328125,20.520000457763672,404.2301330566406,42.93906021118164,92.19873809814453,86.00040435791016
2022-06-08,65.40711975097656,172.77999877929688,401.3536682128906,92.02091217041016,303.53863525390625,20.350000381469727,399.8352966308594,42.40256118774414,90.07270812988281,86.18718719482422
2022-06-09,64.03353881835938,172.22999572753906,391.9286193847656,89.97960662841797,293.0030822753906,19.969999313354492,390.3260803222656,41.51780319213867,87.93741607666016,84.28189086914062
2022-06-10,62.48799514770508,174.5399932861328,380.365478515625,88.00016021728516,284.08843994140625,20.190000534057617,379.00830078125,40.557743072509766,85.98778533935547,82.8529052734375
2022-06-13,60.42083740234375,169.92999267578125,365.7409362792969,83.66057586669922,264.6772766113281,19.5,364.6180725097656,39.174129486083984,81.68932342529297,78.52859497070312
2022-06-14,59.850921630859375,168.57000732421875,364.76593017578125,83.0039291381836,259.1214599609375,19.3700008392334,363.5193176269531,38.816463470458984,81.06729888916016,78.67803955078125
2022-06-15,60.971435546875,170.77000427246094,369.9625244140625,84.87870025634766,253.80975341796875,19.959999084472656,368.7018127441406,39.503562927246094,82.98907470703125,76.94084930419922
2022-06-16,59.62874984741211,172.69000244140625,357.80462646484375,82.74697875976562,239.84698486328125,20.239999771118164,356.49920654296875,38.552921295166016,80.80735778808594,72.60719299316406
2022-06-17,59.38726043701172,171.27000427246094,358.4578552246094,83.42266082763672,229.61415100097656,19.979999542236328,357.2677917480469,38.42115020751953,81.42008972167969,68.63780975341797
2022-06-21,60.285606384277344,170.6300048828125,367.5738525390625,84.72643280029297,240.6085968017578,19.979999542236328,366.261474609375,39.012386322021484,82.55272674560547,72.19366455078125
2022-06-22,59.87990188598633,171.30999755859375,366.9400939941406,85.94457244873047,228.29598999023438,19.760000228881836,365.597412109375,38.65000915527344,83.60181427001953,69.30363464355469
2022-06-23,59.812278747558594,170.25999450683594,370.6158142089844,87.62901306152344,216.1200714111328,19.3700008392334,369.1812438964844,38.50697326660156,85.19013977050781,66.7347412109375
2022-06-24,61.59931182861328,170.08999633789062,382.18865966796875,89.49427032470703,223.4041290283203,19.510000228881836,380.9189453125,39.65130615234375,87.00269317626953,67.61307525634766
2022-06-27,61.3385009765625,169.89999389648438,380.8042297363281,89.29441833496094,231.91848754882812,19.489999771118164,379.4639587402344,39.57501983642578,86.87189483642578,69.59642791748047
2022-06-28,60.92313766479492,169.6199951171875,373.03369140625,88.23806762695312,236.89820861816406,19.190000534057617,371.71038818359375,39.3652229309082,85.81611633300781,71.47587585449219
2022-06-29,60.69131088256836,169.49000549316406,372.7704162597656,87.70513916015625,232.67031860351562,19.139999389648438,371.40771484375,39.12682342529297,85.28357696533203,68.99198913574219
2022-06-30,60.362884521484375,168.4600067138672,369.6602783203125,87.53384399414062,227.11453247070312,18.639999389648438,368.3902587890625,38.90748977661133,85.1247329711914,67.53752899169922
2022-07-01,60.507774353027344,168.32000732421875,373.5016784667969,89.18022155761719,226.16738891601562,18.309999465942383,372.2865295410156,38.99331283569336,86.65699005126953,68.548095703125
2022-07-05,59.2133903503418,164.75,374.3011474609375,88.80906677246094,209.23631286621094,17.729999542236328,372.9896240234375,38.154136657714844,86.41407012939453,65.82807159423828
2022-07-06,59.26168441772461,162.13999938964844,375.6368713378906,88.79954528808594,205.1549072265625,17.690000534057617,374.2493591308594,38.154136657714844,86.25524139404297,64.70417785644531
2022-07-07,60.160030364990234,162.22999572753906,381.2039489746094,88.95182037353516,216.36416625976562,17.75,379.8545227050781,38.773983001708984,86.48883056640625,67.0369644165039
2022-07-08,60.22764587402344,162.3000030517578,380.9017333984375,88.51404571533203,217.42845153808594,17.790000915527344,379.54205322265625,38.86934280395508,86.03101348876953,67.00862121582031
2022-07-11,59.25202941894531,161.42999267578125,376.5631408691406,88.3427505493164,212.32180786132812,17.579999923706055,375.2063293457031,38.22088623046875,85.84416198730469,66.36640930175781
2022-07-12,59.242366790771484,160.8300018310547,373.17999267578125,87.89547729492188,204.69598388671875,17.440000534057617,371.88616943359375,38.182743072509766,85.50779724121094,65.07250213623047
2022-07-13,59.2133903503418,161.60000610351562,371.26898193359375,87.5243148803711,203.04583740234375,17.690000534057617,369.93316650390625,38.13506317138672,85.09671020507812,64.96862030029297
2022-07-14,58.382659912109375,159.3300018310547,370.3720703125,86.6678237915039,196.29879760742188,17.0,369.03472900390625,37.57243728637695,84.33057403564453,63.74083709716797
2022-07-15,59.30998611450195,159.00999450683594,377.4405517578125,88.14290618896484,200.5657501220703,17.190000534057617,376.0852355957031,38.14459228515625,85.76007080078125,64.77973175048828
2022-07-18,59.551475524902344,159.16000366210938,374.388916015625,87.42915344238281,208.74810791015625,17.219999313354492,372.9798583984375,38.382999420166016,85.15275573730469,66.26251220703125
2022-07-19,61.17428970336914,159.5399932861328,384.4505920410156,89.68458557128906,216.41299438476562,17.290000915527344,383.0574951171875,39.37476348876953,87.35772705078125,68.30253601074219
2022-07-20,60.768585205078125,158.0399932861328,386.82952880859375,89.41812896728516,214.70425415039062,17.190000534057617,385.4988098144531,39.18403625488281,87.15218353271484,68.963623046875
2022-07-21,61.396461486816406,160.27000427246094,390.77813720703125,90.198486328125,206.2680206298828,17.399999618530273,389.4244079589844,39.62269973754883,87.84355926513672,67.75474548339844
2022-07-22,61.241905212402344,160.6699981689453,387.2974853515625,90.74093627929688,206.07273864746094,17.139999389648438,385.8112487792969,39.489192962646484,88.30138397216797,67.19751739501953
2022-07-25,61.71522521972656,160.22999572753906,387.697265625,90.87417602539062,216.44227600097656,16.979999542236328,386.280029296875,39.81342697143555,88.45087432861328,69.66252899169922
2022-07-26,60.85552215576172,160.0399932861328,383.09539794921875,90.9312744140625,214.78237915039062,17.15999984741211,381.70989990234375,39.269866943359375,88.54429626464844,69.02974700927734
2022-07-27,62.2947998046875,161.6699981689453,393.0010681152344,91.69259643554688,225.3569793701172,17.600000381469727,391.6216125488281,40.166259765625,89.07685089111328,70.58808898925781
2022-07-28,62.61356735229492,163.63999938964844,397.992919921875,94.7379150390625,225.2397918701172,18.43000030517578,396.53338623046875,40.423736572265625,91.9638671875,70.9847640991211
2022-07-29,63.482933044433594,164.10000610351562,403.9110107421875,95.28987884521484,236.01943969726562,18.700000762939453,402.3143615722656,40.9672966003418,92.45904541015625,74.06365966796875
2022-08-01,63.56986999511719,165.02999877929688,402.61431884765625,94.49049377441406,229.64344787597656,18.790000915527344,401.1230163574219,40.9672966003418,91.71160125732422,72.53366088867188
2022-08-02,62.55561447143555,164.0500030517578,400.0502014160156,93.27235412597656,232.37741088867188,18.40999984741211,398.4767150878906,40.32837677001953,90.53438568115234,72.36366271972656
2022-08-03,62.92267608642578,164.4499969482422,406.2899475097656,93.56737518310547,226.4212646484375,18.489999771118164,404.71661376953125,40.61445999145508,90.82401275634766,70.2858657836914
2022-08-04,63.24144744873047,167.1699981689453,405.89996337890625,93.51979064941406,214.39181518554688,18.639999389648438,404.4432067871094,40.81472396850586,90.6838607788086,67.67919921875
2022-08-05,62.79710388183594,165.2899932861328,405.188232421875,93.78626251220703,219.8890380859375,18.329999923706055,403.7596130371094,40.52863693237305,90.9361343383789,69.02030944824219
2022-08-08,62.94199752807617,166.69000244140625,404.8373107910156,94.53805541992188,220.9240264892578,19.030000686645508,403.2909240722656,40.65260696411133,91.74897003173828,69.37919616699219
2022-08-09,62.603912353515625,167.1999969482422,403.14080810546875,95.09954833984375,223.31626892089844,18.93000030517578,401.6894226074219,40.4046630859375,92.25349426269531,70.59754180908203
2022-08-10,64.01421356201172,166.77999877929688,411.58404541015625,96.51753234863281,224.66371154785156,18.950000762939453,410.1264953613281,41.36781692504883,93.65496063232422,71.10755157470703
2022-08-11,63.99489974975586,166.33999633789062,411.7303161621094,96.18444061279297,233.79319763183594,18.670000076293945,410.1264953613281,41.36781692504883,93.43073272705078,73.55365753173828
2022-08-12,64.48753356933594,167.8699951171875,418.5063171386719,97.72612762451172,237.09349060058594,19.170000076293945,417.06951904296875,41.711124420166016,95.03773498535156,74.11088562011719
2022-08-15,64.10115051269531,165.7100067138672,420.3490905761719,98.20196533203125,227.54412841796875,18.68000030517578,418.7882080078125,41.415496826171875,95.42079162597656,72.66587829589844
2022-08-16,64.08182525634766,165.4199981689453,421.22650146484375,97.84033203125,224.2047882080078,18.56999969482422,419.60845947265625,41.453643798828125,95.16854095458984,72.49588012695312
2022-08-17,63.56986999511719,164.35000610351562,418.057861328125,97.43111419677734,224.95663452148438,18.25,416.6300964355469,41.100799560546875,94.59861755371094,73.10033416748047
2022-08-18,63.357357025146484,163.9199981689453,419.28631591796875,96.67930603027344,235.46287536621094,18.040000915527344,417.8409729003906,40.9672966003418,93.97261810302734,75.06478881835938
2022-08-19,62.48799514770508,162.72000122070312,413.7386779785156,95.79426574707031,232.04541015625,17.549999237060547,412.2260437011719,40.356990814208984,92.98226165771484,75.04588317871094
2022-08-22,61.425437927246094,161.63999938964844,405.0615234375,93.7957763671875,230.65890502929688,17.5,403.64239501953125,39.70853042602539,90.95481872558594,74.90422058105469
2022-08-23,61.45441436767578,162.77000427246094,404.16448974609375,92.5490951538086,242.2782745361328,17.6200008392334,402.66595458984375,39.78481674194336,89.78693389892578,77.6053466796875
2022-08-24,61.53169250488281,163.25,405.4222106933594,93.10105895996094,247.5606689453125,17.6299991607666,403.9549560546875,39.832496643066406,90.3008041381836,78.55923461914062
2022-08-25,62.20786666870117,163.75,411.1355285644531,94.53805541992188,249.93338012695312,17.729999542236328,409.6578369140625,40.29976272583008,91.64619445800781,79.16368103027344
2022-08-26,60.57538986206055,161.75999450683594,397.0862121582031,92.21601104736328,243.94793701171875,17.360000610351562,395.791259765625,39.23171615600586,89.33847045898438,78.23811340332031
2022-08-29,60.44015884399414,161.86000061035156,394.6975402832031,91.39759063720703,248.10748291015625,17.290000915527344,393.1742248535156,39.136356353759766,88.53496551513672,79.41868591308594
2022-08-30,60.00547409057617,160.50999450683594,390.17364501953125,90.06526184082031,236.5076446533203,16.959999084472656,388.8580017089844,38.812129974365234,87.3110122680664,76.72700500488281
2022-08-31,59.59977340698242,159.27000427246094,387.239013671875,89.70362091064453,234.0177764892578,16.579999923706055,385.899169921875,38.58325958251953,86.89991760253906,76.02811431884766
2022-09-01,58.79802703857422,157.8699951171875,388.5649719238281,89.86540985107422,225.3081512451172,16.3799991607666,387.11004638671875,38.06830978393555,87.05875396728516,74.1581039428711
2022-09-02,58.41164016723633,159.25999450683594,384.4115905761719,88.70438385009766,235.21876525878906,16.56999969482422,383.0281982421875,37.82990264892578,85.84416198730469,75.51811218261719
2022-09-06,58.266746520996094,158.3300018310547,382.8808898925781,89.72267150878906,231.93801879882812,16.540000915527344,381.5829772949219,37.667789459228516,86.61962890625,74.81922149658203
2022-09-07,58.77870559692383,159.94000244140625,389.8129577636719,91.47372436523438,228.72560119628906,17.0,388.4381103515625,37.99201965332031,88.31072998046875,73.9503402709961
2022-09-08,58.817344665527344,158.97999572753906,392.26983642578125,91.74018096923828,229.6922607421875,17.030000686645508,390.97705078125,38.04923629760742,88.55364990234375,74.27143859863281
2022-09-09,60.31458282470703,159.82000732421875,398.5291748046875,92.61572265625,240.7941131591797,17.31999969482422,397.05096435546875,39.03145980834961,89.51597595214844,76.12255859375
2022-09-12,61.15496826171875,160.6300048828125,402.8288269042969,93.41510772705078,244.33851623535156,18.170000076293945,401.3183288574219,39.527339935302734,90.3848876953125,77.52034759521484
2022-09-13,59.02985382080078,158.5399932861328,385.2501220703125,89.96056365966797,234.22283935546875,17.829999923706055,383.8680114746094,38.17320251464844,86.9279556274414,75.56533813476562
2022-09-14,59.22304916381836,157.92999267578125,386.7222900390625,88.780517578125,242.70790100097656,18.0,385.3327941894531,38.344852447509766,85.93758392333984,77.69978332519531
2022-09-15,58.7014274597168,154.97999572753906,382.2569274902344,87.1531753540039,236.35142517089844,17.6299991607666,380.9580078125,37.97294616699219,84.34925842285156,75.69756317138672
2022-09-16,58.344024658203125,155.83999633789062,379.3612365722656,87.08656311035156,228.3643341064453,17.989999771118164,378.0517272949219,37.725013732910156,84.35860443115234,74.08255767822266
2022-09-19,58.546875,155.9600067138672,382.3153991699219,86.97235870361328,230.0925750732422,17.989999771118164,380.98345947265625,37.86848068237305,84.23715209960938,74.12647247314453
2022-09-20,57.551937103271484,155.07000732421875,377.82080078125,84.85015869140625,223.77516174316406,17.729999542236328,376.6103515625,37.2371826171875,82.1910171508789,73.61090850830078
2022-09-21,56.79848861694336,155.7899932861328,371.37628173828125,83.56542205810547,219.43988037109375,18.059999465942383,370.0408020019531,36.7589225769043,80.89231872558594,72.53204345703125
2022-09-22,56.63427734375,155.6999969482422,368.23681640625,82.73745727539062,218.14125061035156,18.09000015258789,366.9325256347656,36.58675003051758,79.86458587646484,72.2742691040039
2022-09-23,54.82792282104492,153.00999450683594,362.123779296875,81.65255737304688,199.1597137451172,17.360000610351562,360.78466796875,35.391109466552734,78.80306243896484,67.29049682617188
2022-09-26,54.01652145385742,151.22999572753906,358.55267333984375,79.44361877441406,194.07257080078125,16.920000076293945,357.21551513671875,34.82676315307617,76.59308624267578,65.63877868652344
2022-09-27,53.64945602416992,151.5399932861328,357.63140869140625,78.30884552001953,198.03683471679688,16.899999618530273,356.30364990234375,34.61632537841797,75.57311248779297,66.37393188476562
2022-09-28,54.943843841552734,154.69000244140625,364.57965087890625,79.82827758789062,207.2346649169922,17.450000762939453,363.3144226074219,35.391109466552734,77.14086151123047,69.31454467773438
2022-09-29,54.29664611816406,154.66000366210938,357.0826110839844,77.54911804199219,207.11749267578125,17.3700008392334,355.7251281738281,34.951107025146484,74.87422943115234,69.31454467773438
2022-09-30,54.10345458984375,154.6699981689453,351.47705078125,78.29923248291016,206.2289581298828,17.5,350.2243957519531,34.778934478759766,75.71476745605469,68.76080322265625
2022-10-03,55.1756706237793,158.42999267578125,360.77728271484375,79.76097106933594,220.94357299804688,19.100000381469727,359.4707336425781,35.5537109375,77.0653076171875,72.6466064453125
2022-10-04,57.38772201538086,160.6999969482422,371.8218688964844,81.30925750732422,229.45791625976562,19.360000610351562,370.6094970703125,36.969356536865234,78.62361907958984,75.76864624023438
