,date,cash,position
0,2022-06-01,0.0,no position
44,2022-08-04,0.0,long A short B
78,2022-09-22,0.14392827878744185,long B short A
115,2022-11-14,0.23915864466332515,long A short B
117,2022-11-16,0.4148911122098973,long B short A
164,2023-01-26,0.5316031956306713,long A short B
203,2023-03-23,0.5859511105381028,long B short A
