date,symbol,open_price
09/03/2016 00:00,ETH/USD,10.3
10/03/2016 00:00,ETH/USD,11.2
11/03/2016 00:00,ETH/USD,11.75
12/03/2016 00:00,ETH/USD,11.95
13/03/2016 00:00,ETH/USD,12.92
14/03/2016 00:00,ETH/USD,15.07
15/03/2016 00:00,ETH/USD,12.63
16/03/2016 00:00,ETH/USD,13.06
17/03/2016 00:00,ETH/USD,12.58
18/03/2016 00:00,ETH/USD,11.09
19/03/2016 00:00,ETH/USD,10.97
20/03/2016 00:00,ETH/USD,10.55
21/03/2016 00:00,ETH/USD,10.18
22/03/2016 00:00,ETH/USD,11.53
23/03/2016 00:00,ETH/USD,11.37
24/03/2016 00:00,ETH/USD,12.43
25/03/2016 00:00,ETH/USD,11.32
26/03/2016 00:00,ETH/USD,10.67
27/03/2016 00:00,ETH/USD,10.93
28/03/2016 00:00,ETH/USD,10.4
29/03/2016 00:00,ETH/USD,11.78
30/03/2016 00:00,ETH/USD,11.79
31/03/2016 00:00,ETH/USD,11.92
01/04/2016 00:00,ETH/USD,11.41
02/04/2016 00:00,ETH/USD,11.65
03/04/2016 00:00,ETH/USD,11.61
04/04/2016 00:00,ETH/USD,11.6
05/04/2016 00:00,ETH/USD,11.15
06/04/2016 00:00,ETH/USD,10.4
07/04/2016 00:00,ETH/USD,10.76
08/04/2016 00:00,ETH/USD,10.05
09/04/2016 00:00,ETH/USD,9.692
10/04/2016 00:00,ETH/USD,9.15
11/04/2016 00:00,ETH/USD,8.56
12/04/2016 00:00,ETH/USD,8.531
13/04/2016 00:00,ETH/USD,7.483
14/04/2016 00:00,ETH/USD,8.081
15/04/2016 00:00,ETH/USD,8.392
16/04/2016 00:00,ETH/USD,8.23
17/04/2016 00:00,ETH/USD,8.7
18/04/2016 00:00,ETH/USD,9.302
19/04/2016 00:00,ETH/USD,8.973
20/04/2016 00:00,ETH/USD,8.73
21/04/2016 00:00,ETH/USD,8.614
22/04/2016 00:00,ETH/USD,8.23
23/04/2016 00:00,ETH/USD,7.948
