date,symbol,open_price
09/02/2015 00:00,BTC/USD,224.22
10/02/2015 00:00,BTC/USD,220.61
11/02/2015 00:00,BTC/USD,220.96
12/02/2015 00:00,BTC/USD,219.19
13/02/2015 00:00,BTC/USD,222.39
14/02/2015 00:00,BTC/USD,236.13
15/02/2015 00:00,BTC/USD,257
16/02/2015 00:00,BTC/USD,234.14
17/02/2015 00:00,BTC/USD,236.78
18/02/2015 00:00,BTC/USD,242.87
19/02/2015 00:00,BTC/USD,234.8
20/02/2015 00:00,BTC/USD,241.9
21/02/2015 00:00,BTC/USD,245.53
22/02/2015 00:00,BTC/USD,245.1
23/02/2015 00:00,BTC/USD,236.59
24/02/2015 00:00,BTC/USD,239.73
25/02/2015 00:00,BTC/USD,239.68
26/02/2015 00:00,BTC/USD,238
27/02/2015 00:00,BTC/USD,237
28/02/2015 00:00,BTC/USD,255.05
01/03/2015 00:00,BTC/USD,255.7
02/03/2015 00:00,BTC/USD,262.47
03/03/2015 00:00,BTC/USD,277.3
04/03/2015 00:00,BTC/USD,283.2
05/03/2015 00:00,BTC/USD,273.74
06/03/2015 00:00,BTC/USD,278.51
07/03/2015 00:00,BTC/USD,273.89
08/03/2015 00:00,BTC/USD,275.95
09/03/2015 00:00,BTC/USD,275.23
10/03/2015 00:00,BTC/USD,291.2
11/03/2015 00:00,BTC/USD,292.62
12/03/2015 00:00,BTC/USD,296.33
13/03/2015 00:00,BTC/USD,295.65
14/03/2015 00:00,BTC/USD,287.9
15/03/2015 00:00,BTC/USD,283
16/03/2015 00:00,BTC/USD,286.12
17/03/2015 00:00,BTC/USD,291.1
18/03/2015 00:00,BTC/USD,285
19/03/2015 00:00,BTC/USD,257.49
20/03/2015 00:00,BTC/USD,262.05
21/03/2015 00:00,BTC/USD,262.66
22/03/2015 00:00,BTC/USD,260.37
23/03/2015 00:00,BTC/USD,269.33
24/03/2015 00:00,BTC/USD,266.78
25/03/2015 00:00,BTC/USD,247.3
26/03/2015 00:00,BTC/USD,246.15
27/03/2015 00:00,BTC/USD,249.8
28/03/2015 00:00,BTC/USD,247.5
29/03/2015 00:00,BTC/USD,253.05
30/03/2015 00:00,BTC/USD,242.23
31/03/2015 00:00,BTC/USD,247.9
01/04/2015 00:00,BTC/USD,244.42
02/04/2015 00:00,BTC/USD,246.43
03/04/2015 00:00,BTC/USD,253.11
04/04/2015 00:00,BTC/USD,254.12
05/04/2015 00:00,BTC/USD,253.9
06/04/2015 00:00,BTC/USD,260.53
07/04/2015 00:00,BTC/USD,255.81
08/04/2015 00:00,BTC/USD,254.92
09/04/2015 00:00,BTC/USD,244.96
10/04/2015 00:00,BTC/USD,242.65
11/04/2015 00:00,BTC/USD,234.99
12/04/2015 00:00,BTC/USD,237.38
13/04/2015 00:00,BTC/USD,236.67
14/04/2015 00:00,BTC/USD,225.49
15/04/2015 00:00,BTC/USD,218.71
16/04/2015 00:00,BTC/USD,222.92
17/04/2015 00:00,BTC/USD,228.3
18/04/2015 00:00,BTC/USD,222.42
19/04/2015 00:00,BTC/USD,222.97
20/04/2015 00:00,BTC/USD,223.22
21/04/2015 00:00,BTC/USD,224.21
22/04/2015 00:00,BTC/USD,234.37
23/04/2015 00:00,BTC/USD,234.53
24/04/2015 00:00,BTC/USD,235.25
25/04/2015 00:00,BTC/USD,231.73
26/04/2015 00:00,BTC/USD,226.02
27/04/2015 00:00,BTC/USD,219.39
28/04/2015 00:00,BTC/USD,227.41
29/04/2015 00:00,BTC/USD,225.25
30/04/2015 00:00,BTC/USD,225.34
01/05/2015 00:00,BTC/USD,235.64
02/05/2015 00:00,BTC/USD,232.8
03/05/2015 00:00,BTC/USD,235.07
04/05/2015 00:00,BTC/USD,240.34
05/05/2015 00:00,BTC/USD,239.01
06/05/2015 00:00,BTC/USD,235.46
07/05/2015 00:00,BTC/USD,229.74
08/05/2015 00:00,BTC/USD,237.52
09/05/2015 00:00,BTC/USD,244.75
10/05/2015 00:00,BTC/USD,242.55
11/05/2015 00:00,BTC/USD,240.58
12/05/2015 00:00,BTC/USD,242.85
13/05/2015 00:00,BTC/USD,242.46
14/05/2015 00:00,BTC/USD,236.4
15/05/2015 00:00,BTC/USD,236.63
16/05/2015 00:00,BTC/USD,237.11
17/05/2015 00:00,BTC/USD,235.71
18/05/2015 00:00,BTC/USD,236.49
19/05/2015 00:00,BTC/USD,232
20/05/2015 00:00,BTC/USD,231.76
21/05/2015 00:00,BTC/USD,233.85
22/05/2015 00:00,BTC/USD,235.2
23/05/2015 00:00,BTC/USD,240.92
24/05/2015 00:00,BTC/USD,238.8
25/05/2015 00:00,BTC/USD,241.01
26/05/2015 00:00,BTC/USD,236.9
27/05/2015 00:00,BTC/USD,237.4
28/05/2015 00:00,BTC/USD,236.73
29/05/2015 00:00,BTC/USD,236.82
30/05/2015 00:00,BTC/USD,236.45
31/05/2015 00:00,BTC/USD,232.3
01/06/2015 00:00,BTC/USD,228.59
02/06/2015 00:00,BTC/USD,221.97
03/06/2015 00:00,BTC/USD,224.31
04/06/2015 00:00,BTC/USD,225.34
05/06/2015 00:00,BTC/USD,223.17
06/06/2015 00:00,BTC/USD,224.44
07/06/2015 00:00,BTC/USD,224.68
08/06/2015 00:00,BTC/USD,223.45
09/06/2015 00:00,BTC/USD,228.5
10/06/2015 00:00,BTC/USD,229.52
11/06/2015 00:00,BTC/USD,228.74
12/06/2015 00:00,BTC/USD,229.69
13/06/2015 00:00,BTC/USD,229.82
14/06/2015 00:00,BTC/USD,232.72
15/06/2015 00:00,BTC/USD,233.58
16/06/2015 00:00,BTC/USD,237.18
17/06/2015 00:00,BTC/USD,251.48
18/06/2015 00:00,BTC/USD,246.93
19/06/2015 00:00,BTC/USD,249.11
20/06/2015 00:00,BTC/USD,244.57
21/06/2015 00:00,BTC/USD,245.3
22/06/2015 00:00,BTC/USD,243.82
23/06/2015 00:00,BTC/USD,247.35
24/06/2015 00:00,BTC/USD,244
25/06/2015 00:00,BTC/USD,240.45
26/06/2015 00:00,BTC/USD,242.49
27/06/2015 00:00,BTC/USD,243.17
28/06/2015 00:00,BTC/USD,251.47
29/06/2015 00:00,BTC/USD,249.34
30/06/2015 00:00,BTC/USD,257.01
01/07/2015 00:00,BTC/USD,264.5
02/07/2015 00:00,BTC/USD,257.83
03/07/2015 00:00,BTC/USD,254.59
04/07/2015 00:00,BTC/USD,255.38
05/07/2015 00:00,BTC/USD,260.85
06/07/2015 00:00,BTC/USD,270.17
07/07/2015 00:00,BTC/USD,272
08/07/2015 00:00,BTC/USD,272
09/07/2015 00:00,BTC/USD,272
10/07/2015 00:00,BTC/USD,272
11/07/2015 00:00,BTC/USD,293.61
12/07/2015 00:00,BTC/USD,293.78
13/07/2015 00:00,BTC/USD,311.51
14/07/2015 00:00,BTC/USD,291.89
15/07/2015 00:00,BTC/USD,287.96
16/07/2015 00:00,BTC/USD,284
17/07/2015 00:00,BTC/USD,278.89
18/07/2015 00:00,BTC/USD,279.67
19/07/2015 00:00,BTC/USD,277.31
20/07/2015 00:00,BTC/USD,275.03
21/07/2015 00:00,BTC/USD,278.95
22/07/2015 00:00,BTC/USD,276.1
23/07/2015 00:00,BTC/USD,278.12
24/07/2015 00:00,BTC/USD,276.38
25/07/2015 00:00,BTC/USD,289.3
26/07/2015 00:00,BTC/USD,289.76
27/07/2015 00:00,BTC/USD,292.57
28/07/2015 00:00,BTC/USD,294.71
29/07/2015 00:00,BTC/USD,295.07
30/07/2015 00:00,BTC/USD,289.15
31/07/2015 00:00,BTC/USD,287.66
01/08/2015 00:00,BTC/USD,284.38
